metric,n_total,n_tp,n_sl,mean_tp,mean_sl,median_tp,median_sl,pearson_r,spearman_r,mann_whitney_p,auc,best_threshold,precision_at_thr,recall_at_thr,n_qualified,best_f1
Score,140,48,92,57.3242,58.7855,59.445,61.345,-0.2038,-0.2316,0.836532,0.4892,<= 97.66,0.3504,1.0,137,0.5189
MxV,140,48,92,-1916.3675,-1885.9283,-639.285,-185.785,0.0915,0.1986,0.671831,0.478,>= -17702.01,0.3478,1.0,138,0.5161
RunUp,140,48,92,37.7946,29.0498,30.88,26.75,-0.2945,-0.2859,0.208485,0.565,>= -7.03,0.3784,0.875,111,0.5283
REL_VOL,140,48,92,46.431,34.9764,37.04,11.89,-0.1789,-0.1361,0.137679,0.5761,>= 4.22,0.3684,0.875,114,0.5185
RSI,140,48,92,50.5781,62.2745,60.735,65.085,0.1229,0.0535,0.18582,0.4317,>= 0.00,0.3429,1.0,140,0.5106
ATRX,121,35,86,4.6129,3.9307,4.37,3.02,-0.1895,-0.2175,0.061977,0.6086,>= 3.52,0.4211,0.6857,57,0.5217
Gap,140,48,92,104.4179,21.283,7.775,7.59,-0.1016,-0.1086,0.536681,0.5319,>= -0.79,0.3659,0.9375,123,0.5263
VWAP_dev,140,48,92,-0.1096,0.7601,0.0,0.0,-0.0837,-0.1481,0.938686,0.4959,>= -6.23,0.3727,0.8542,110,0.519
Volume,121,35,86,65251841.6,39338421.686,21628401.0,12617536.0,-0.3099,-0.277,0.374051,0.5518,>= 313137.00,0.2966,1.0,118,0.4575
MarketCap,121,35,86,41839244.6571,147079783.6395,24870000.0,16742849.0,0.0247,-0.0743,0.431859,0.5458,<= 182370000.00,0.3182,1.0,110,0.4828
ScanPrice,140,48,92,8.7467,7.5568,4.975,4.975,-0.0572,-0.0477,0.778737,0.5146,>= 2.11,0.3529,1.0,136,0.5217
Hour,65,28,37,9.0357,9.8108,8.0,9.0,0.1872,0.2671,0.056372,0.3673,<= 13.00,0.4516,1.0,62,0.6222
